"","can_name_clean","yr","cst_n","cst","pty_n","party_code","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1666","HJ RENNY SOEDIRO BSC",2014,"Jawa Barat X",23,"GOLKAR",8,0,"n/a","2360987568","https://www.facebook.com/Hj-Renny-Soediro-2498466053558588",0,0
"1667","HJ RINI SUJIANTI SE  MM",2014,"Jawa Barat X",23,"PARTAI NASDEM",40,0,"n/a","2191457724","NA",0,0
"1668","HJ ROSMAILIS M SI",2014,"Jawa Barat IV",17,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"NA",0,0
"1669","HJ SADARESTUWATI SP M MA",2014,"Jawa Timur VII",43,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","133599105; 1374974020794208256","NA",0,0
"1670","HJ SANIATUL LATIVA",2014,"Jambi",25,"GOLKAR",8,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"NA; NA",0,0
"1671","HJ SITI FATHONAH RACHMANIYAH ST MM",2014,"Jawa Timur XI",46,"PARTAI HATI NURANI RAKYAT",18,0,"n/a",NA,"NA",0,0
"1672","HJ SITI MASRIFAH MA",2014,"Banten III",7,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","142561665","NA",0,1
"1673","HJ SITTI SULFIA SUHARDI S KED",2014,"Sulawesi Barat",64,"DEMOKRAT",9,0,"n/a",NA,"NA",0,0
"1674","HJ SRI WULAN SE",2014,"Jawa Tengah III",28,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","828066679175278720","https://www.facebook.com/SriWulanSutomo",1,0
"1675","HJ TETTY KADI BAWONO",2014,"Jawa Barat VII",21,"GOLKAR",8,0,"n/a","161397884","https://www.facebook.com/tettykadibawono",1,0
"1676","HJ TYAS INDYAH ISKANDAR SH MKN",2014,"Jawa Timur IX",40,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"1677","HM ANWAR RACHMAN SH MH",2014,"Jawa Timur VII",43,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a","2736341821","https://www.facebook.com/anwarachman1; NA",1,1
"1678","HM BN HOLIK QODRATULLAH SE",2014,"Jawa Barat VI",20,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a",NA,"NA",0,0
"1679","HM GAMARI",2014,"Jawa Tengah III",28,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission I (Defense, Foreign and Information Affairs)","1089744971630968832","https://www.facebook.com/HM.Gamarisutrisno",0,0
"1680","HM SYAIFUL BAHRI ANSHORI MP",2014,"Jawa Timur IV",39,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission I (Defense, Foreign and Information Affairs)","926952676465639424","NA",0,1
"1681","HONING SANNY",2014,"Nusa Tenggara Timur I",58,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","4834680623","NA",0,1
"1682","HR ERWIN M SINGAJURU SH  MH",2014,"Sumatera Selatan II",74,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"
Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)",NA,"NA",0,0
"1683","HUSNI SALIM S AG  M PD",2014,"Maluku Utara",56,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a",NA,"https://www.facebook.com/HusniSalimDB; NA",0,0
"1684","ICHSAN FIRDAUS",2014,"Jawa Barat IX",18,"GOLKAR",8,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"https://www.facebook.com/kang.ichsanfirdaus",1,0
"1685","ICHSAN SOELISTIO",2014,"Banten II",6,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"
Commission III (Law and Legislation, Human Rights, and Security Affairs)","1069205419560583168","NA",0,1
"1686","IDA BAGUS NUGROHO",2014,"Jawa Timur VII",43,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"NA",0,0
"1687","IDA BAGUS OKA GUNASTAWA SE",2014,"Bali",4,"PARTAI NASDEM",40,0,"n/a","2358895254","NA; NA",0,1
"1688","IDA BAGUS PUTU SUKARTA SE  M SI",2014,"Bali",4,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"NA",0,0
"1689","IIS SUGIANTO SS",2014,"Jawa Barat VII",21,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","230896413","NA",0,1
"1690","IMAS AAN UBUDIAH S PD",2014,"Jawa Barat XI",24,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a","1303683937131061248","https://www.facebook.com/tehimasaanubudiah",0,0
"1691","IMELDA SARI",2014,"Jawa Barat III",16,"DEMOKRAT",9,0,"n/a","114401638","NA",0,1
"1692","INA AMMANIA",2014,"Jawa Tengah V",31,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","2162068399","NA",0,0
"1693","INDIRA CHUNDA THITA SYAHRUL SE MM",2014,"Sulawesi Selatan I",65,"PARTAI AMANAT NASIONAL",5,1,"
Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"NA; https://www.facebook.com/Dekkeng-Indira-Chunda-Thita-Syahrul-Yasin-Limpo-260069878279167",0,0
"1694","INGRID MARIA PALUPI KANSIL S SOS",2014,"Jawa Barat IV",17,"DEMOKRAT",9,0,"n/a","377135702","NA; https://www.facebook.com/ingridmpkansil",0,1
"1695","IR A EDDY SUSETYO MM",2014,"Jawa Timur IX",40,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","1044097542173024128","NA",0,0
"1696","IR AGUS HERMANTO MM",2014,"Jawa Tengah I",26,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","1830788438","NA",0,1
"1697","IR ALI WONGSO HALOMOAN SINAGA",2014,"Sumatera Utara III",77,"GOLKAR",8,0,"n/a",NA,"NA; https://www.facebook.com/AliWongsoSinaga",0,0
"1698","IR AMI TAHER",2014,"Jambi",25,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a","873226300332195840","https://www.facebook.com/amitaherkerinci",0,0
"1699","IR ARIF MINARDI",2014,"Jawa Barat I",14,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","2354221008","https://www.facebook.com/Arif-Minardi-1444791235756748",0,0
"1700","IR BACHTUL",2014,"Sumatera Barat I",71,"PARTAI NASDEM",40,0,"n/a",NA,"NA",0,0
"1701","IR BAHRUM DAIDO MSI",2014,"Sulawesi Selatan III",67,"DEMOKRAT",9,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","1121374044","NA",0,0
"1702","IR BAMBANG SUTRISNO",2014,"Jawa Tengah V",31,"GOLKAR",8,0,"n/a","259614724","NA",0,1
"1703","IR BAMBANG WURYANTO MBA",2014,"Jawa Tengah IV",29,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission I (Defense, Foreign and Information Affairs)",NA,"https://www.facebook.com/Bambang-Patjul-172783052738439",0,0
"1704","IR BINTATAR PARLAUNGAN HUTABARAT",2014,"Sumatera Utara I",75,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"NA",0,0
"1705","IR BUDI YUWONO DIPL SE",2014,"Jawa Timur V",41,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"NA",0,0
"1706","IR CYRILLUS IRYANTO KERONG",2014,"Nusa Tenggara Timur I",58,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"1707","IR DEDDY YEVRI HANTERU SITORUS MA",2014,"Riau II",63,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","206281804","NA; https://www.facebook.com/deddyyevrihanterusitorus",1,1
"1708","IR DJOKO UDJIANTO",2014,"Jawa Tengah III",28,"DEMOKRAT",9,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","720479142484033536","NA; NA",0,0
"1709","IR DOLFIE OFP",2014,"Kalimantan Barat",47,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","NA","NA",0,0
"1710","IR DWITA RIA GUNADI",2014,"Lampung II",54,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","2181873925","https://www.facebook.com/DwitaRiaGunadi; https://www.facebook.com/riadwitag",1,1
"1711","IR E HERMAN KHAERON M SI",2014,"Jawa Barat VII",21,"DEMOKRAT",9,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"https://www.facebook.com/hermankhaerondemokrat; https://www.facebook.com/H.E.HermanKhaeron",1,0
"1712","IR EDDY KUNTADI",2014,"Jawa Timur X",45,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"1713","IR EFFENDY SIANIPAR",2014,"Riau I",62,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"NA; NA",0,0
"1714","IR ERIKO SOTARDUGA BPS",2014,"DKI Jakarta II",11,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"NA; NA",0,0
"1715","IR FANDI UTOMO",2014,"Jawa Timur I",36,"DEMOKRAT",9,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","712203528450641920","https://www.facebook.com/FandiUtomoFU",1,1
"1716","IR FARY DJEMY FRANCIS MMA",2014,"Nusa Tenggara Timur II",59,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Chairman of Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"NA; https://www.facebook.com/FaryFrancis",0,0
"1717","IR FAYAKHUN ANDRIADI M KOM",2014,"DKI Jakarta II",11,"GOLKAR",8,1,"Commission I (Defense, Foreign and Information Affairs)","304217100","NA",0,1
"1718","IR G MICHAEL JENO MM",2014,"Kalimantan Barat",47,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)",NA,"https://www.facebook.com/IrGMichael-JenoMM-221868607992842",1,0
"1719","IR H A R SUTAN ADIL HENDRA MM",2014,"Jambi",25,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"https://www.facebook.com/SutanAdilHendra.SAH; NA",1,0
"1720","IR H ABDILLAH NATSIR",2014,"Sulawesi Selatan III",67,"GOLKAR",8,0,"n/a",NA,"https://www.facebook.com/Ir-H-Abdillah-Natsir-606895802676939; NA",0,0
"1721","IR H ABDULLAH RASYID ME",2014,"Sumatera Utara I",75,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"https://www.facebook.com/Ir-H-Abdullah-Rasyid-MM-536592799713739",0,0
"1722","IR H ADE BARKAH",2014,"Jawa Barat X",23,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a",NA,"NA",0,0
"1723","IR H ADIES KADIR SH M HUM",2014,"Jawa Timur I",36,"GOLKAR",8,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","1472624234","https://www.facebook.com/AdiesKadirLagi; NA",1,1
"1724","IR H AHMAD HUSIN SIREGAR MM",2014,"Sumatera Utara I",75,"GOLKAR",8,0,"n/a","1025743165167259520","NA; NA",0,0
"1725","IR H AHMADI NOOR SUPIT",2014,"Kalimantan Selatan I",48,"GOLKAR",8,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)",NA,"NA; https://www.facebook.com/Ir-Ahmadi-Noor-Supit-1853296554795924",0,0
"1726","IR H AIRLANGGA HARTARTO MMT MBA",2014,"Jawa Barat IX",18,"GOLKAR",8,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","2734971967","NA",0,1
"1727","IR H ALFA ISNAENI M SI",2014,"Jawa Timur V",41,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a",NA,"NA",0,0
"1728","IR H ANTONO BUDIARTO",2014,"Kalimantan Tengah",50,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","2218802042","NA",0,0
"1729","IR H ARSYAD JULIANDI RACHMAN MBA",2014,"Riau I",62,"GOLKAR",8,0,"n/a","342463517","https://www.facebook.com/AndiRachman1960",1,1
"1730","IR H BAMBANG ADHYAKSA UTOMO",2014,"Jawa Timur V",41,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a",NA,"NA",0,0
"1731","IR H BAMBANG HARYO SOEKARTONO",2014,"Jawa Timur I",36,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","2912340984","https://www.facebook.com/bambangharyos",1,1
"1732","IR H BUHARI KAHAR MUZAKKAR MM",2014,"Sulawesi Selatan III",67,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"https://www.facebook.com/sahabatBKM",0,0
"1733","IR H BURHANUDDIN A RASYID",2014,"Kalimantan Barat",47,"PARTAI AMANAT NASIONAL",5,0,"n/a","600050205","NA",0,1
"1734","IR H DARMANSYAH HUSEIN",2014,"Bangka Belitung",3,"PARTAI AMANAT NASIONAL",5,0,"n/a","1264970760","https://www.facebook.com/darmansyah.husein",1,0
"1735","IR H DASEP AHMADI",2014,"Jawa Barat IV",17,"PARTAI AMANAT NASIONAL",5,0,"n/a","216357858","NA",0,0
"1736","IR H DIDI APRIADI M AK",2014,"Sumatera Selatan II",74,"PARTAI HATI NURANI RAKYAT",18,0,"n/a","1133216012","NA",0,0
"1737","IR H ENDRO SUSWANTORO YAHMAN M SC",2014,"Lampung I",53,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","228372247","NA",0,1
"1738","IR H M IDRIS LAENA",2014,"Riau II",63,"GOLKAR",8,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"https://www.facebook.com/hmidrislaena; NA",0,0
"1739","IR H M LUKMAN EDY MSI",2014,"Riau II",63,"PARTAI KEBANGKITAN BANGSA",1,1,"Vice Chairman of Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","352870599","NA",0,1
"1740","IR H M RIDWAN HISJAM",2014,"Jawa Timur IX",40,"GOLKAR",8,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","713051559748186112; 1928298278","NA; https://www.facebook.com/tatokridwanhisjam",0,1
"1741","IR H MARWAN CIK ASAN MM",2014,"Lampung II",54,"DEMOKRAT",9,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","1356056926769958656","https://www.facebook.com/mca1dpr",0,1
"1742","IR H MUBYL HANDALING",2014,"Sulawesi Selatan I",65,"PARTAI NASDEM",40,0,"n/a","589557373","NA; NA",0,0
"1743","IR H MUCHAMMAD ROMAHURMUZIY MT",2014,"Jawa Tengah VI",32,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)",NA,"https://www.facebook.com/MuhammadRomahurmuziy",0,0
"1744","IR H MUHAMMAD NASYIT UMAR",2014,"Sulawesi Selatan II",66,"DEMOKRAT",9,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","2208612098","https://www.facebook.com/nasyitumar142; NA; NA",0,0
"1745","IR H MULYADI",2014,"Sumatera Barat II",72,"DEMOKRAT",9,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)",NA,"https://www.facebook.com/irhmulyad1",1,0
"1746","IR H NUR YASIN MBA  MT",2014,"Jawa Timur IV",39,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a",NA,"https://www.facebook.com/nuryasin164",0,0
"1747","IR H NUROJI",2014,"Jawa Barat V",19,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"NA; NA; https://www.facebook.com/NurojiCentre",0,0
"1748","IR H ROESTANTO WAHIDI D MM",2014,"Jawa Barat II",15,"DEMOKRAT",9,0,"n/a","589063698","NA",0,0
"1749","IR H SIGIT SOSIANTOMO",2014,"Jawa Timur I",36,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"https://www.facebook.com/sigitsosiantomocom",0,0
"1750","IR H T A KHALID MM",2014,"Aceh I",1,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a",NA,"https://www.facebook.com/ir.h.t.a.khalid.mm; https://www.facebook.com/TakhalidA60",0,0
"1751","IR H TIFATUL SEMBIRING",2014,"Sumatera Utara I",75,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","83867535","https://www.facebook.com/tifatul.sembiring",1,1
"1752","IR H TJATUR SAPTO EDY MT",2014,"Jawa Tengah V",31,"PARTAI AMANAT NASIONAL",5,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","1244153308748472320","NA",0,0
"1753","IR H ZULFADHLI MM",2014,"Kalimantan Barat",47,"GOLKAR",8,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)
",NA,"NA",0,0
"1754","IR HAMZAH SANGADJI",2014,"Maluku",55,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"1755","IR HJ DYAH ANITA PRIHAPSARI MBA",2014,"Jawa Barat II",15,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a",NA,"NA",0,0
"1756","IR HJ ESRITA USMAN ERMULAN MSI",2014,"Jambi",25,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a",NA,"NA; https://www.facebook.com/esritausmanermulan",0,0
"1757","IR HJ FERNITA",2014,"Jawa Barat XI",24,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a","230635411","NA",0,0
"1758","IR HM ROSYID HIDAYAT",2014,"Jawa Tengah V",31,"DEMOKRAT",9,0,"n/a","817474590","https://www.facebook.com/rosyidhidayatpetanigaul",0,0
"1759","IR ISWAN ABDULLAH ME",2014,"Jawa Barat VI",20,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","786096567031824384","https://www.facebook.com/Iswan-Abdullah-A-Siata-788382794679137",0,1
"1760","IR JERO WACIK SE",2014,"Bali",4,"DEMOKRAT",9,1,"No info which commission, but he only worked at DPR for a month since the president appointed him as the Tourism Minister",NA,"NA",0,0
"1761","IR JOHN RENDE MANGONTAN",2014,"Papua",60,"PARTAI NASDEM",40,0,"n/a",NA,"https://www.facebook.com/JhonRende.M",0,0
"1762","IR KAMRUSSAMAD M SI",2014,"Sulawesi Selatan II",66,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","927438599745806336","https://www.facebook.com/kamrussamad.ks; https://www.facebook.com/bangsamad1; NA",1,1
"1763","IR KETUT SUSTIAWAN",2014,"Jawa Barat I",14,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","972893928214085632","NA",0,1
"1764","IR KRT H DARORI WONODIPURO MM",2014,"Jawa Tengah VI",32,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","736522424519266304","NA",0,0
"1765","IR LAMHOT SINAGA",2014,"Sumatera Utara II",76,"GOLKAR",8,0,"n/a","143464090","https://www.facebook.com/IrLamhotS; NA",1,1
"1766","IR LILI ASDJUDIREDJA SE PH D",2014,"Jawa Barat II",15,"GOLKAR",8,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs) ;  in 2016 moved to Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)",NA,"NA; https://www.facebook.com/liliasdjudiredja4",0,0
"1767","IR M NASIM KHAN",2014,"Jawa Timur III",38,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","1165404344","NA",0,1
"1768","IR MARKUS NARI M SI",2014,"Sulawesi Selatan III",67,"GOLKAR",8,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","1109183275","NA",0,1
"1769","IR MARTEN APUY M SI",2014,"Kalimantan Timur",51,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"n/a (did not get a seat due to corruption scandal)",NA,"NA",0,0
"1770","IR MEMED SOSIAWAN",2014,"Jawa Timur VII",43,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","265743854","https://www.facebook.com/msosiawan; NA",0,0
"1771","IR MINDO SIANIPAR",2014,"Jawa Timur VII",43,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","2154427562","NA",0,0
"1772","IR NANANG SAMODRA KA  M SC",2014,"Nusa Tenggara Barat",57,"DEMOKRAT",9,0,"n/a","1356871771702448128","https://www.facebook.com/nanangsamodraka",1,1
"1773","IR NAZARUDIN KIEMAS MM",2014,"Sumatera Selatan I",73,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","1721444534","NA",0,0
"1774","IR NOVA IRIANSYAH MT",2014,"Aceh I",1,"DEMOKRAT",9,0,"n/a","4637528905; 773219210604318720; 2243512921; 887734850915934208","https://www.facebook.com/novairiansyah; NA; NA",0,1
"1775","IR NURDIN TAMPUBOLON",2014,"Sumatera Utara I",75,"PARTAI HATI NURANI RAKYAT",18,1,"Commission I (Defense, Foreign and Information Affairs)","1356734707","https://www.facebook.com/nurdin.t.hanura",1,1
"1776","IR ONGKU PARMONANGAN HASIBUAN MM",2014,"Sumatera Utara II",76,"DEMOKRAT",9,0,"n/a","2152287691","NA",0,0
"1777","IR RENDY M AFFANDY LAMADJIDO MBA",2014,"Sulawesi Tengah",68,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","1082137339961344000","NA",0,0
"1778","IR RIDWAN BAE",2014,"Sulawesi Tenggara",69,"GOLKAR",8,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","333400823; 123586608","https://www.facebook.com/Ridwan-Bae-103223381028108",0,1
"1779","IR RUDIANTO TJEN",2014,"Bangka Belitung",3,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission I (Defense, Foreign and Information Affairs)","950348866418761600","NA",0,0
"1780","IR RULLY CHAIRUL AZWAR M SI",2014,"Bengkulu",8,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"1781","IR S MILTON PAKPAHAN MM",2014,"Sumatera Utara II",76,"DEMOKRAT",9,0,"n/a","131875004","NA",0,0
"1782","IR SADAR SUBAGYO",2014,"Jawa Tengah VII",33,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","1405806264","NA",0,1
"1783","IR SRI MELIYANA",2014,"Sumatera Selatan II",74,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","1054009700944011264","NA",0,0
"1784","IR SUDJADI",2014,"Jawa Tengah V",31,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","968876780378451968","NA",0,0
"1785","IR SUFMI DASCO AHMAD",2014,"Banten III",7,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","1390886953","https://www.facebook.com/SufmidascoDPR",1,1
"1786","IR SUMAIL ABDULLAH",2014,"Jawa Timur III",38,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","1400349479522357248","NA",0,0
"1787","IR SUNARTOYO",2014,"Jawa Timur I",36,"PARTAI AMANAT NASIONAL",5,0,"n/a","999649717","NA; NA",0,0
"1788","IR SUTARIP TULIS WIDODO",2014,"Jawa Tengah X",35,"DEMOKRAT",9,0,"n/a","2264486929","NA",0,0
"1789","IR TAGORE ABUBAKAR",2014,"Aceh II",2,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)",NA,"NA; NA",0,0
"1790","IR TAUFIK KURNIAWAN MM",2014,"Jawa Tengah VI",32,"PARTAI AMANAT NASIONAL",5,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","377358694","https://www.facebook.com/taufikkurniawanpan",1,1
"1791","IR WITYASMORO SIH HANDAYANTO",2014,"Jawa Tengah VII",33,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"https://www.facebook.com/Ir-Wityasmoro-Sih-Handayanto-MBA-529474413797948",1,0
"1792","IR YUSNAN SOLIHIN",2014,"Jawa Barat I",14,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","1693827979","NA",0,0
"1793","IRAWATI HERMAWAN",2014,"Jawa Tengah VI",32,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","20313464","NA; https://www.facebook.com/IraIKAUNPAD",0,1
"1794","IRENE MANIBUY SH",2014,"Papua Barat",61,"GOLKAR",8,0,"n/a","789783171902517120","NA; https://www.facebook.com/Irenmanibuy",0,0
"1795","IRIANTO MALINGONG",2014,"Sulawesi Tengah",68,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"NA; https://www.facebook.com/Irianto-MalingongCaleg-DPR-RI-Dapil-Sulawesi-Tengah-178715365655787",0,0
"1796","IRINE YUSIANA ROBA PUTRI S SOS",2014,"Maluku Utara",56,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"https://www.facebook.com/irineroba",1,0
"1797","IRMAWAN",2014,"Aceh I",1,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission I (Defense, Foreign and Information Affairs)","1074883890278350720","NA",0,1
"1798","IRNA NARULITA HJ SE",2014,"Banten I",5,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","1412247744; 307873811","NA; NA; NA; https://www.facebook.com/irna.pandeglang; https://www.facebook.com/irnanarulitanatakusuma",1,1
"1799","IRVANSYAH S IP",2014,"Banten III",7,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","125241643","https://www.facebook.com/H-Irvansyah-SIP-MSi-520895998732659",0,1
